class,filename,original_url,flickr_page,exclude,x,y,w,h,orig_file_width,orig_file_height
meadow_brown_butterfly,A1.jpg,https://farm8.staticflickr.com/7882/33454194818_02ac1800da_c.jpg,https://flic.kr/p/SYeuAo,1,0,0,0,0,533,800
meadow_brown_butterfly,A2.jpg,https://farm8.staticflickr.com/7802/32325256067_2cd2def6c2_c.jpg,https://flic.kr/p/Rftora,1,0,0,0,0,800,450
meadow_brown_butterfly,A3.jpg,https://farm8.staticflickr.com/7900/47267138681_7450ac0d1c_c.jpg,https://flic.kr/p/2f1QryV,1,0,0,0,0,800,449
meadow_brown_butterfly,A4.jpg,https://farm2.staticflickr.com/1923/30318344687_ecc6a84a87_c.jpg,https://flic.kr/p/Nc8rAP,0,282,195,178,170,800,531
meadow_brown_butterfly,A5.jpg,https://farm2.staticflickr.com/1832/42919491512_8e79fe13d4_c.jpg,https://flic.kr/p/28oDBwY,0,236,83,362,402,800,534
meadow_brown_butterfly,A6.jpg,https://farm1.staticflickr.com/905/40939636094_a9fd02810b_c.jpg,https://flic.kr/p/25nGkuJ,0,186,35,408,414,800,534
meadow_brown_butterfly,A7.jpg,https://farm5.staticflickr.com/4796/26880928548_e4134dd063_c.jpg,https://flic.kr/p/GXnMxj,0,228,113,306,356,800,532
meadow_brown_butterfly,A8.jpg,https://farm5.staticflickr.com/4797/40751758591_e3a7954583_c.jpg,https://flic.kr/p/2566q4r,0,312,85,226,196,800,532
meadow_brown_butterfly,A9.jpg,https://farm5.staticflickr.com/4774/40751755831_2b1588fc3d_c.jpg,https://flic.kr/p/2566peR,0,90,229,220,194,800,532
meadow_brown_butterfly,A10.jpg,https://farm5.staticflickr.com/4313/36190827721_3e75df81b2_c.jpg,https://flic.kr/p/X94sdi,1,0,0,0,0,800,402
meadow_brown_butterfly,A11.jpg,https://farm5.staticflickr.com/4318/36154589826_1ecc1e9a72_c.jpg,https://flic.kr/p/X5RHX1,0,152,319,200,176,488,800
meadow_brown_butterfly,A12.jpg,https://farm5.staticflickr.com/4321/35824899111_d9c3c67085_c.jpg,https://flic.kr/p/WzHYok,0,337,208,256,204,800,601
meadow_brown_butterfly,A13.jpg,https://farm2.staticflickr.com/1972/43918096760_362186b387_c.jpg,https://flic.kr/p/29UTJ5Q,0,244,149,294,240,800,532
