class,filename,original_url,flickr_page
meadow_brown_butterfly,A1.jpg,https://farm8.staticflickr.com/7882/33454194818_02ac1800da_c.jpg,https://flic.kr/p/SYeuAo
meadow_brown_butterfly,A2.jpg,https://farm8.staticflickr.com/7802/32325256067_2cd2def6c2_c.jpg,https://flic.kr/p/Rftora
meadow_brown_butterfly,A3.jpg,https://farm8.staticflickr.com/7900/47267138681_7450ac0d1c_c.jpg,https://flic.kr/p/2f1QryV
meadow_brown_butterfly,A4.jpg,https://farm2.staticflickr.com/1923/30318344687_ecc6a84a87_c.jpg,https://flic.kr/p/Nc8rAP
meadow_brown_butterfly,A5.jpg,https://farm2.staticflickr.com/1832/42919491512_8e79fe13d4_c.jpg,https://flic.kr/p/28oDBwY
meadow_brown_butterfly,A6.jpg,https://farm1.staticflickr.com/905/40939636094_a9fd02810b_c.jpg,https://flic.kr/p/25nGkuJ
meadow_brown_butterfly,A7.jpg,https://farm5.staticflickr.com/4796/26880928548_e4134dd063_c.jpg,https://flic.kr/p/GXnMxj
meadow_brown_butterfly,A8.jpg,https://farm5.staticflickr.com/4797/40751758591_e3a7954583_c.jpg,https://flic.kr/p/2566q4r
meadow_brown_butterfly,A9.jpg,https://farm5.staticflickr.com/4774/40751755831_2b1588fc3d_c.jpg,https://flic.kr/p/2566peR
meadow_brown_butterfly,A10.jpg,https://farm5.staticflickr.com/4313/36190827721_3e75df81b2_c.jpg,https://flic.kr/p/X94sdi
meadow_brown_butterfly,A11.jpg,https://farm5.staticflickr.com/4318/36154589826_1ecc1e9a72_c.jpg,https://flic.kr/p/X5RHX1
meadow_brown_butterfly,A12.jpg,https://farm5.staticflickr.com/4321/35824899111_d9c3c67085_c.jpg,https://flic.kr/p/WzHYok
meadow_brown_butterfly,A13.jpg,https://farm2.staticflickr.com/1972/43918096760_362186b387_c.jpg,https://flic.kr/p/29UTJ5Q
meadow_brown_butterfly,A14.jpg,https://farm2.staticflickr.com/1909/31008537168_3a4fd47e42_c.jpg,https://flic.kr/p/Pf7RMb
meadow_brown_butterfly,A15.jpg,https://farm2.staticflickr.com/1943/44881422021_d40b2b1c39_c.jpg,https://flic.kr/p/2bo2284
meadow_brown_butterfly,A16.jpg,https://farm2.staticflickr.com/1900/43398961695_36709ee78a_c.jpg,https://flic.kr/p/29822jg
meadow_brown_butterfly,A17.jpg,https://farm2.staticflickr.com/1779/43087077295_7ce3d6f63d_c.jpg,https://flic.kr/p/28DswX2
meadow_brown_butterfly,A18.jpg,https://farm1.staticflickr.com/857/30039935828_04fbf870f1_c.jpg,https://flic.kr/p/MLwwm5
meadow_brown_butterfly,A19.jpg,https://farm1.staticflickr.com/935/43739142802_c144615cf6_c.jpg,https://flic.kr/p/29D5xiL
meadow_brown_butterfly,A20.jpg,https://farm1.staticflickr.com/938/43639289502_d7f0c1ae8d_c.jpg,https://flic.kr/p/29ufLp9
meadow_brown_butterfly,A21.jpg,https://farm1.staticflickr.com/939/43639278892_80e18d7ef4_c.jpg,https://flic.kr/p/29ufHfd
meadow_brown_butterfly,A22.jpg,https://farm2.staticflickr.com/1808/28655324137_9ee7387381_c.jpg,https://flic.kr/p/KEb2wH
